ID,Y
202, 3.6757
203, 1.6860
204, 3.9464
205, 1.0107
206, 3.7282
207, 0.5139
208, 3.4275
209, 0.9718
210, 2.9321
211, 0.2713
212, 3.0112
213, 1.7235
214, 2.7804
215, 3.1222
216, 2.7460
217, 3.6027
218, 3.4173
219, 4.0182
220, 1.9883
221, 2.7417
222, 1.3252
223, 2.8219
224, 1.1265
225, 3.3631
226, 2.2126
227, 3.2426
228, 2.0130
229, 3.6939
230, 1.5488
231, 4.1068
232, 0.9112
233, 3.9171
234, 0.4069
235, 3.2979
236, 0.1644
237, 2.8480
238,- 0.0399
239, 3.1208
240, 2.1021
241, 2.9622
242, 3.2209
243, 2.7412
244, 3.4340
245, 3.0032
246, 3.7458
247, 1.9915
248, 3.1503
249, 1.4350
250, 3.2552
251, 1.0895
252, 3.6008
253, 1.4489
254, 3.3601
255, 0.7756
256, 3.1468
257, 0.5020
258, 2.8875
259, 1.4450
260, 2.6074
261, 2.3961
262, 2.6069
263, 3.7738
264, 3.6165
265, 4.2373
266, 2.3415
267, 2.8777
268, 1.4701
269, 2.4034
270, 0.9099
271, 3.1410
272, 2.3337
273, 3.1189
274, 2.8817
275, 3.5960
276, 2.3835
277, 3.6583
278, 1.7198
279, 3.2176
280, 0.7153
281, 3.7994
282, 1.0055
283, 3.3752
284, 0.6390
285, 2.9719
286, 0.1554
287, 2.3623
288, 1.9068
289, 2.5963
290, 3.7353
291, 2.6936
292, 4.2570
293, 2.6031
294, 4.1672
295, 1.2176
296, 4.0706
297, 1.5538
298, 3.6674
299, 1.5647
300, 3.2203
301, 1.0347
302, 3.1232
303, 0.7951
304, 3.1582
305, 1.5432
306, 2.9562
307, 1.8785
308, 2.8980
309, 2.6582
310, 3.6152
311, 3.4445
312, 3.7329
313, 2.0257
314, 2.4579
315, 0.4820
316, 2.7350
317, 1.3374
318, 3.0899
319, 2.5085
320, 2.9774
321, 2.6954
322, 3.9660
323, 3.2496
324, 3.5646
325, 1.3082
326, 2.5827
327, 0.7592
328, 3.5367
329, 1.4731
330, 3.2671
331, 1.8972
332, 3.1099
333, 1.1562
334, 3.6486
